Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
"I know that it's normal. </s> But sometimes it's not something that people talk about. </s> Yeah, well, it's a— </s> Especially in the church. </s> Yeah, it's like a shock to them when you say something like that. And it's like, ""Well, we all go through things where we're just not sure, and--"" I still have a little bit, I'm not saying that I'm off track, you know? I still have a little bit to go on. And the little bit that I do have are the positive things in my life that I look at and I'm like, ""Okay, well, I'm not in this situation, so I'm thankful,"" and-","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Yeah, well, it's a— </s> Especially in the church. </s> Yeah, it's like a shock to them when you say something like that. And it's like, ""Well, we all go through things where we're just not sure, and--"" I still have a little bit, I'm not saying that I'm off track, you know? I still have a little bit to go on. And the little bit that I do have are the positive things in my life that I look at and I'm like, ""Okay, well, I'm not in this situation, so I'm thankful,"" and- </s> Mm-hmm. </s> -you know, I'd still have faith to keep going on, but sometimes you feel as though, ""Where is God?""","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Yeah, it's like a shock to them when you say something like that. And it's like, ""Well, we all go through things where we're just not sure, and--"" I still have a little bit, I'm not saying that I'm off track, you know? I still have a little bit to go on. And the little bit that I do have are the positive things in my life that I look at and I'm like, ""Okay, well, I'm not in this situation, so I'm thankful,"" and- </s> Mm-hmm. </s> -you know, I'd still have faith to keep going on, but sometimes you feel as though, ""Where is God?"" </s> Yeah. </s> You know?","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,And it sounds like right now you're at a place of acceptance about that also.,1
"-you know, I'd still have faith to keep going on, but sometimes you feel as though, ""Where is God?"" </s> Yeah. </s> You know? </s> And it sounds like right now you're at a place of acceptance about that also. </s> Yes.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"Uh, that it's okay with you, and you-you know that it's gonna change because that's been your, uh, experience.",1
"You know? </s> And it sounds like right now you're at a place of acceptance about that also. </s> Yes. </s> Uh, that it's okay with you, and you-you know that it's gonna change because that's been your, uh, experience. </s> Yes.","[-1, 1, -1, 1, -1]",seeker supporter seeker supporter seeker,You've done numerous values clarification handouts and every time they're different-,0
"Yes. </s> Uh, that it's okay with you, and you-you know that it's gonna change because that's been your, uh, experience. </s> Yes. </s> You've done numerous values clarification handouts and every time they're different- </s> Mm-hmm.","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,-so you know that it's going to change.,0
Yes. </s> You've done numerous values clarification handouts and every time they're different- </s> Mm-hmm. </s> -so you know that it's going to change. </s> Yeah.,"[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,And you accept that?,2
"Mm-hmm. </s> -so you know that it's going to change. </s> Yeah. </s> And you accept that? </s> I've accepted that. At first, I was like, ""Whoa,"" I think I was focused too much on the first time I did it-","[-1, 0, -1, 2, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Yeah. </s> And you accept that? </s> I've accepted that. At first, I was like, ""Whoa,"" I think I was focused too much on the first time I did it- </s> Mm-hmm. </s> -then the second time that I did it-- I did five of these total-","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"I've accepted that. At first, I was like, ""Whoa,"" I think I was focused too much on the first time I did it- </s> Mm-hmm. </s> -then the second time that I did it-- I did five of these total- </s> Mm-hmm. </s> -but the second time that I did it I was so focused on, ""What did I read about last time?"" You know?","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"-then the second time that I did it-- I did five of these total- </s> Mm-hmm. </s> -but the second time that I did it I was so focused on, ""What did I read about last time?"" You know? </s> Yeah. </s> So, and I just went ahead and blanked that out and I just went and I-","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Yes.,5
"-but the second time that I did it I was so focused on, ""What did I read about last time?"" You know? </s> Yeah. </s> So, and I just went ahead and blanked that out and I just went and I- </s> Yes. </s> -compared and I was like, ""Oh wow.""","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"I really applaud you for being open-minded enough to realize that where you are now is not necessarily where you are, that you don't have to always have it be the same.",5
"So, and I just went ahead and blanked that out and I just went and I- </s> Yes. </s> -compared and I was like, ""Oh wow."" </s> I really applaud you for being open-minded enough to realize that where you are now is not necessarily where you are, that you don't have to always have it be the same. </s> Mm-hmm, and that's what I felt wasn't-- At first I was like, ""Is that not normal?"" You know?","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"-compared and I was like, ""Oh wow."" </s> I really applaud you for being open-minded enough to realize that where you are now is not necessarily where you are, that you don't have to always have it be the same. </s> Mm-hmm, and that's what I felt wasn't-- At first I was like, ""Is that not normal?"" You know? </s> Mm-hmm. </s> But, I noticed people go through things every day. I go through things in life. Things are gonna change.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Mm-hmm, and that's what I felt wasn't-- At first I was like, ""Is that not normal?"" You know? </s> Mm-hmm. </s> But, I noticed people go through things every day. I go through things in life. Things are gonna change. </s> Mm-hmm. </s> Things do not stay the same. Um, you know, like, you may be here, you're gonna go there, you're gonna go over there, not necessarily saying you're gonna fall down, but your view on life changes the more experience, the more life, every day-","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"But, I noticed people go through things every day. I go through things in life. Things are gonna change. </s> Mm-hmm. </s> Things do not stay the same. Um, you know, like, you may be here, you're gonna go there, you're gonna go over there, not necessarily saying you're gonna fall down, but your view on life changes the more experience, the more life, every day- </s> Yeah. </s> -every day your eyes-- Well, to me, my eyes have gotten broader, and broader, and broader. So—","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Right.,5
"Things do not stay the same. Um, you know, like, you may be here, you're gonna go there, you're gonna go over there, not necessarily saying you're gonna fall down, but your view on life changes the more experience, the more life, every day- </s> Yeah. </s> -every day your eyes-- Well, to me, my eyes have gotten broader, and broader, and broader. So— </s> Right. </s> I don't limit myself to change anymore, I just kind of fill it out, and then [unintelligible 00:05:38] I'm like, ""Okay.""","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,All right.,5
"-every day your eyes-- Well, to me, my eyes have gotten broader, and broader, and broader. So— </s> Right. </s> I don't limit myself to change anymore, I just kind of fill it out, and then [unintelligible 00:05:38] I'm like, ""Okay."" </s> All right. </s> That's cool, so I'll focus more on that, than on the unnecessary stuff in my life.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Mm-hmm. Do you feel that there are some parts of your life where you'd like to be more in line with your values, or do you feel like you're really on target with them?",6
"I don't limit myself to change anymore, I just kind of fill it out, and then [unintelligible 00:05:38] I'm like, ""Okay."" </s> All right. </s> That's cool, so I'll focus more on that, than on the unnecessary stuff in my life. </s> Mm-hmm. Do you feel that there are some parts of your life where you'd like to be more in line with your values, or do you feel like you're really on target with them? </s> Um, I mentioned before that it was kind of, like, out of place for me, because when I did this one in particular, um, as-as-- I stated that there were-- The other three were important to me, but I haven't focused on it so I'm like, ""Okay, it's important to me,"" so I lost track of that and the other three—","[-1, 5, -1, 6, -1]",seeker supporter seeker supporter seeker,The other three?,2
"That's cool, so I'll focus more on that, than on the unnecessary stuff in my life. </s> Mm-hmm. Do you feel that there are some parts of your life where you'd like to be more in line with your values, or do you feel like you're really on target with them? </s> Um, I mentioned before that it was kind of, like, out of place for me, because when I did this one in particular, um, as-as-- I stated that there were-- The other three were important to me, but I haven't focused on it so I'm like, ""Okay, it's important to me,"" so I lost track of that and the other three— </s> The other three? </s> Um, number three was health.","[-1, 6, -1, 2, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Um, I mentioned before that it was kind of, like, out of place for me, because when I did this one in particular, um, as-as-- I stated that there were-- The other three were important to me, but I haven't focused on it so I'm like, ""Okay, it's important to me,"" so I lost track of that and the other three— </s> The other three? </s> Um, number three was health. </s> Mm-hmm. </s> Number four is inner harmony, and number five is security.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,"Inner harmony, health, and security-",0
"Um, number three was health. </s> Mm-hmm. </s> Number four is inner harmony, and number five is security. </s> Inner harmony, health, and security- </s> Yes.","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,-are the other three?,2
"Number four is inner harmony, and number five is security. </s> Inner harmony, health, and security- </s> Yes. </s> -are the other three? </s> Mm-hmm.","[-1, 0, -1, 2, -1]",seeker supporter seeker supporter seeker,And the top two are family happiness and religion?,2
Yes. </s> -are the other three? </s> Mm-hmm. </s> And the top two are family happiness and religion? </s> And religion.,"[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,"Okay, and the three- the three other ones, inner harmony-- Let me see if I can remember them. Inner harmony, health and, what was the other one?",3
"Mm-hmm. </s> And the top two are family happiness and religion? </s> And religion. </s> Okay, and the three- the three other ones, inner harmony-- Let me see if I can remember them. Inner harmony, health and, what was the other one? </s> Security.","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,Security.,0
"And religion. </s> Okay, and the three- the three other ones, inner harmony-- Let me see if I can remember them. Inner harmony, health and, what was the other one? </s> Security. </s> Security. </s> Yeah.","[-1, 3, -1, 0, -1]",seeker supporter seeker supporter seeker,"Inner harmony, health, and security.",0
"Security. </s> Security. </s> Yeah. </s> Inner harmony, health, and security. </s> Yeah.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,You feel like you're not really paying as much attention to them as you would want to?,0
"Yeah. </s> Inner harmony, health, and security. </s> Yeah. </s> You feel like you're not really paying as much attention to them as you would want to? </s> Yeah, because when I saw it I was like, ""Okay, yeah, that's one, that's one, and that's one.""","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Yeah. </s> You feel like you're not really paying as much attention to them as you would want to? </s> Yeah, because when I saw it I was like, ""Okay, yeah, that's one, that's one, and that's one."" </s> Mm-hmm. </s> But—","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Is it because a lot of your time is being taken with the first two or?,2
"Yeah, because when I saw it I was like, ""Okay, yeah, that's one, that's one, and that's one."" </s> Mm-hmm. </s> But— </s> Is it because a lot of your time is being taken with the first two or? </s> A lot of my time is being taken with, um, number one especially-","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"But— </s> Is it because a lot of your time is being taken with the first two or? </s> A lot of my time is being taken with, um, number one especially- </s> Mm-hmm. </s> -and, uh, I learned about the different way of looking at self-esteem.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"A lot of my time is being taken with, um, number one especially- </s> Mm-hmm. </s> -and, uh, I learned about the different way of looking at self-esteem. </s> Mm-hmm. </s> -and I've been definitely esteeming others.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Uh.,5
"-and, uh, I learned about the different way of looking at self-esteem. </s> Mm-hmm. </s> -and I've been definitely esteeming others. </s> Uh. </s> So, I've had, um, less time to have some inner harmony.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Oh yeah, right. The family has been so much coming first that you have sort of taken a back seat?",1
"-and I've been definitely esteeming others. </s> Uh. </s> So, I've had, um, less time to have some inner harmony. </s> Oh yeah, right. The family has been so much coming first that you have sort of taken a back seat? </s> Yes.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,You're not even on-- Are you on the schedule at all? Meaning of time in a day dedicated? Is most of it going to your family?,2
"So, I've had, um, less time to have some inner harmony. </s> Oh yeah, right. The family has been so much coming first that you have sort of taken a back seat? </s> Yes. </s> You're not even on-- Are you on the schedule at all? Meaning of time in a day dedicated? Is most of it going to your family? </s> Most of it goes to everything else, but me.","[-1, 1, -1, 2, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Yes. </s> You're not even on-- Are you on the schedule at all? Meaning of time in a day dedicated? Is most of it going to your family? </s> Most of it goes to everything else, but me. </s> Okay. </s> And, uh, like, I don't even—","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,It's gonna be hard to achieve inner harmony-,6
"Most of it goes to everything else, but me. </s> Okay. </s> And, uh, like, I don't even— </s> It's gonna be hard to achieve inner harmony- </s> Yeah.","[-1, 5, -1, 6, -1]",seeker supporter seeker supporter seeker,-if you're always running around taking care of everybody.,6
"And, uh, like, I don't even— </s> It's gonna be hard to achieve inner harmony- </s> Yeah. </s> -if you're always running around taking care of everybody. </s> And I feel like inner harmony first comes with sleep. [laughter] I haven't been able to sleep lately.","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,Right.,5
"Yeah. </s> -if you're always running around taking care of everybody. </s> And I feel like inner harmony first comes with sleep. [laughter] I haven't been able to sleep lately. </s> Right. </s> But, um-","[-1, 6, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"And I feel like inner harmony first comes with sleep. [laughter] I haven't been able to sleep lately. </s> Right. </s> But, um- </s> Yeah. </s> -I think that's the first step, but I just, like-- Oh my gosh, I'm just overwhelmed, um, but I would like to gain that back, inner harmony, inner peace-","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay.,5
"But, um- </s> Yeah. </s> -I think that's the first step, but I just, like-- Oh my gosh, I'm just overwhelmed, um, but I would like to gain that back, inner harmony, inner peace- </s> Okay. </s> -because when I was, you know, 18 I was just so, like, free-spirited, open-minded. I was living life, now that I look at it, as a fairy tale.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm. Mm-hmm.,5
"-I think that's the first step, but I just, like-- Oh my gosh, I'm just overwhelmed, um, but I would like to gain that back, inner harmony, inner peace- </s> Okay. </s> -because when I was, you know, 18 I was just so, like, free-spirited, open-minded. I was living life, now that I look at it, as a fairy tale. </s> Mm. Mm-hmm. </s> And so I got knocked to reality and reality said, ""This is not a fairy tale."" Um, you're now on board. Like—","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay.,5
"-because when I was, you know, 18 I was just so, like, free-spirited, open-minded. I was living life, now that I look at it, as a fairy tale. </s> Mm. Mm-hmm. </s> And so I got knocked to reality and reality said, ""This is not a fairy tale."" Um, you're now on board. Like— </s> Okay. </s> And so I felt like, ""This is not about you, you know, this is about everyone else.""","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Mm. So, something dramatic happened?",1
"And so I got knocked to reality and reality said, ""This is not a fairy tale."" Um, you're now on board. Like— </s> Okay. </s> And so I felt like, ""This is not about you, you know, this is about everyone else."" </s> Mm. So, something dramatic happened? </s> Yeah.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,That kind of shocked you out of that fairy tale life-,1
"And so I felt like, ""This is not about you, you know, this is about everyone else."" </s> Mm. So, something dramatic happened? </s> Yeah. </s> That kind of shocked you out of that fairy tale life- </s> Mm-hmm.","[-1, 1, -1, 1, -1]",seeker supporter seeker supporter seeker,-and into a take care of everyone else thing?,0
Yeah. </s> That kind of shocked you out of that fairy tale life- </s> Mm-hmm. </s> -and into a take care of everyone else thing? </s> Yeah-,"[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Mm-hmm. </s> -and into a take care of everyone else thing? </s> Yeah- </s> Okay. </s> -definitely, and the shock just keeps getting.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,"Okay. Well, I really enjoyed having the time to be able to sit down and talk to you about your values. I hope that it's been helpful to you, and in the future, if I can support even any way in helping some of those other values get a little bit more attention, we can talk about that next time.",5
"Yeah- </s> Okay. </s> -definitely, and the shock just keeps getting. </s> Okay. Well, I really enjoyed having the time to be able to sit down and talk to you about your values. I hope that it's been helpful to you, and in the future, if I can support even any way in helping some of those other values get a little bit more attention, we can talk about that next time. </s> Thank you for listening.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay. All right? You're welcome.,5
<START>,[-1],None,"So, where you said you'd like to start, Sal, is talking about your asthma and specifically about your dog and how one is affecting the other.",0
"<START> </s> So, where you said you'd like to start, Sal, is talking about your asthma and specifically about your dog and how one is affecting the other. </s> Mm-hmm. Um, yeah, my asthma has just been out of control lately and my doctor says that might be connected to Oscar.","[-1, 0, -1]",None supporter seeker,"Hmm. So, what- can you let me know or-or what do you know about your asthma and the things that affected or might make it worse?",3
"<START> </s> So, where you said you'd like to start, Sal, is talking about your asthma and specifically about your dog and how one is affecting the other. </s> Mm-hmm. Um, yeah, my asthma has just been out of control lately and my doctor says that might be connected to Oscar. </s> Hmm. So, what- can you let me know or-or what do you know about your asthma and the things that affected or might make it worse? </s> Um, I've got allergy testing. It's just, uh, the dust makes it bad. I thought the smoking was the main thing-","[-1, 0, -1, 3, -1]",None supporter seeker supporter seeker,Mm-hmm.,5
"Mm-hmm. Um, yeah, my asthma has just been out of control lately and my doctor says that might be connected to Oscar. </s> Hmm. So, what- can you let me know or-or what do you know about your asthma and the things that affected or might make it worse? </s> Um, I've got allergy testing. It's just, uh, the dust makes it bad. I thought the smoking was the main thing- </s> Mm-hmm. </s> -that's cut down. Um, and then they said the drinking might contribute to it, too. So, I got a lot of different things I'm working on. So that's what I know.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Hmm.,5
"Um, I've got allergy testing. It's just, uh, the dust makes it bad. I thought the smoking was the main thing- </s> Mm-hmm. </s> -that's cut down. Um, and then they said the drinking might contribute to it, too. So, I got a lot of different things I'm working on. So that's what I know. </s> Hmm. </s> The drinking, the smoking and the dust that I got, the, um, the scratch test for.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Right.,5
"-that's cut down. Um, and then they said the drinking might contribute to it, too. So, I got a lot of different things I'm working on. So that's what I know. </s> Hmm. </s> The drinking, the smoking and the dust that I got, the, um, the scratch test for. </s> Right. </s> And-and-and that's what I know, and that I take the medicine for it.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay. And that your pet has never been mentioned as a concern?,2
"The drinking, the smoking and the dust that I got, the, um, the scratch test for. </s> Right. </s> And-and-and that's what I know, and that I take the medicine for it. </s> Okay. And that your pet has never been mentioned as a concern? </s> No, I've had it for-for 12 years and now it's a concern. I don't understand.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Hmm. Yeah. And I-I can see that you've already worked hard to make some changes. You've almost quit smoking.,0
"And-and-and that's what I know, and that I take the medicine for it. </s> Okay. And that your pet has never been mentioned as a concern? </s> No, I've had it for-for 12 years and now it's a concern. I don't understand. </s> Hmm. Yeah. And I-I can see that you've already worked hard to make some changes. You've almost quit smoking. </s> Mm-hmm.","[-1, 2, -1, 0, -1]",seeker supporter seeker supporter seeker,You're just down to your last couple of cigarettes-,0
"No, I've had it for-for 12 years and now it's a concern. I don't understand. </s> Hmm. Yeah. And I-I can see that you've already worked hard to make some changes. You've almost quit smoking. </s> Mm-hmm. </s> You're just down to your last couple of cigarettes- </s> Mm-hmm.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,-and you're not even smoking those in the house.,0
Mm-hmm. </s> You're just down to your last couple of cigarettes- </s> Mm-hmm. </s> -and you're not even smoking those in the house. </s> Mm-hmm.,"[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"So, your house is totally smoke-free.",0
"Mm-hmm. </s> -and you're not even smoking those in the house. </s> Mm-hmm. </s> So, your house is totally smoke-free. </s> Yes, just that work with the [unintelligible 00:01:24].","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Yeah, okay. And you have also thought about cutting back on alcohol.",0
"Mm-hmm. </s> So, your house is totally smoke-free. </s> Yes, just that work with the [unintelligible 00:01:24]. </s> Yeah, okay. And you have also thought about cutting back on alcohol. </s> Mm-hmm.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,-and-and I think you mentioned done-done a little bit towards that.,0
"Yes, just that work with the [unintelligible 00:01:24]. </s> Yeah, okay. And you have also thought about cutting back on alcohol. </s> Mm-hmm. </s> -and-and I think you mentioned done-done a little bit towards that. </s> Mm-hmm. I'm a little I'm a couple of down. I used to drink four at night, now I'm down to three at least.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Okay, okay.",5
"Mm-hmm. </s> -and-and I think you mentioned done-done a little bit towards that. </s> Mm-hmm. I'm a little I'm a couple of down. I used to drink four at night, now I'm down to three at least. </s> Okay, okay. </s> Uh-huh.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,"So now almost like that's not good enough, like now you have to, now it's the dog and now-",0
"Mm-hmm. I'm a little I'm a couple of down. I used to drink four at night, now I'm down to three at least. </s> Okay, okay. </s> Uh-huh. </s> So now almost like that's not good enough, like now you have to, now it's the dog and now- </s> Mm-hmm, what's next, yeah, yeah.","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,"-what's next. Right. Okay. So, I mean, there is certainly a lot of evidence that pets in the home and the dander from their fur can make asthma worse.",4
"Uh-huh. </s> So now almost like that's not good enough, like now you have to, now it's the dog and now- </s> Mm-hmm, what's next, yeah, yeah. </s> -what's next. Right. Okay. So, I mean, there is certainly a lot of evidence that pets in the home and the dander from their fur can make asthma worse. </s> Mm-hmm.","[-1, 0, -1, 4, -1]",seeker supporter seeker supporter seeker,"-but I wonder what are your experiences with Oscar, you know, when he's in the house or-or maybe sleeping near you or you're around him, what happens with your asthma symptoms?",3
"Mm-hmm, what's next, yeah, yeah. </s> -what's next. Right. Okay. So, I mean, there is certainly a lot of evidence that pets in the home and the dander from their fur can make asthma worse. </s> Mm-hmm. </s> -but I wonder what are your experiences with Oscar, you know, when he's in the house or-or maybe sleeping near you or you're around him, what happens with your asthma symptoms? </s> Well, we keep them clean, like he's cleaned. So, all the dander doesn't really make sense, but I have been noticing that sometimes when he comes on the bed or just beside, I wheeze a little bit, but I think it has to do with, um, the hair, the, in my lungs cleaning itself up from the smoking.","[-1, 4, -1, 3, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Mm-hmm. </s> -but I wonder what are your experiences with Oscar, you know, when he's in the house or-or maybe sleeping near you or you're around him, what happens with your asthma symptoms? </s> Well, we keep them clean, like he's cleaned. So, all the dander doesn't really make sense, but I have been noticing that sometimes when he comes on the bed or just beside, I wheeze a little bit, but I think it has to do with, um, the hair, the, in my lungs cleaning itself up from the smoking. </s> Okay. </s> So, I don't know if it's that-that's where I'm confused. I don't know how this could be happening.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"Hmm. So, it doesn't make total sense to you that-that it's all Oscar's fault and that-",1
"Well, we keep them clean, like he's cleaned. So, all the dander doesn't really make sense, but I have been noticing that sometimes when he comes on the bed or just beside, I wheeze a little bit, but I think it has to do with, um, the hair, the, in my lungs cleaning itself up from the smoking. </s> Okay. </s> So, I don't know if it's that-that's where I'm confused. I don't know how this could be happening. </s> Hmm. So, it doesn't make total sense to you that-that it's all Oscar's fault and that- </s> Mm-hmm, Mm-hmm.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,That's that the only solution.,5
"So, I don't know if it's that-that's where I'm confused. I don't know how this could be happening. </s> Hmm. So, it doesn't make total sense to you that-that it's all Oscar's fault and that- </s> Mm-hmm, Mm-hmm. </s> That's that the only solution. </s> But-but the wheezing is something that I've definitely noticed a little bit.","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,"I guess I also wonder whether, regardless of-of if your asthma symptoms are connected to Oscar, that may be part of you feels like it's worth it because he's been-",1
"Mm-hmm, Mm-hmm. </s> That's that the only solution. </s> But-but the wheezing is something that I've definitely noticed a little bit. </s> I guess I also wonder whether, regardless of-of if your asthma symptoms are connected to Oscar, that may be part of you feels like it's worth it because he's been- </s> Mm-hmm.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,-such a big part of your life for so long.,1
"But-but the wheezing is something that I've definitely noticed a little bit. </s> I guess I also wonder whether, regardless of-of if your asthma symptoms are connected to Oscar, that may be part of you feels like it's worth it because he's been- </s> Mm-hmm. </s> -such a big part of your life for so long. </s> Mm-hmm, Mm-hmm. I just want some medicine and I want to keep Oscar and I wanna feel better about myself because I'm making all these changes in my life and it honestly feels like my-my nose is just above the water.","[-1, 1, -1, 1, -1]",seeker supporter seeker supporter seeker,"Hmm. Yeah. And-and in the end, you know, whatever you- whatever you do, about Oscar, about your asthma, about all the other things that we talked about on that agenda-setting worksheet, I mean, you are in the driver's seat solid. It really is your choice.",5
"Mm-hmm. </s> -such a big part of your life for so long. </s> Mm-hmm, Mm-hmm. I just want some medicine and I want to keep Oscar and I wanna feel better about myself because I'm making all these changes in my life and it honestly feels like my-my nose is just above the water. </s> Hmm. Yeah. And-and in the end, you know, whatever you- whatever you do, about Oscar, about your asthma, about all the other things that we talked about on that agenda-setting worksheet, I mean, you are in the driver's seat solid. It really is your choice. </s> Mm-hmm. Yeah, no, that feels good. That I, you know, at least it is my choice. I just feel like just about, I'm not feeling happy about just all these different things that are coming up. Um, and I'm kind of sad about things.","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Mm-hmm, Mm-hmm. I just want some medicine and I want to keep Oscar and I wanna feel better about myself because I'm making all these changes in my life and it honestly feels like my-my nose is just above the water. </s> Hmm. Yeah. And-and in the end, you know, whatever you- whatever you do, about Oscar, about your asthma, about all the other things that we talked about on that agenda-setting worksheet, I mean, you are in the driver's seat solid. It really is your choice. </s> Mm-hmm. Yeah, no, that feels good. That I, you know, at least it is my choice. I just feel like just about, I'm not feeling happy about just all these different things that are coming up. Um, and I'm kind of sad about things. </s> Mm-hmm. </s> And I don't know, I don't know what to do.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"There's a lot of decisions and a lot of change with your wife, with the new baby.",1
"Mm-hmm. Yeah, no, that feels good. That I, you know, at least it is my choice. I just feel like just about, I'm not feeling happy about just all these different things that are coming up. Um, and I'm kind of sad about things. </s> Mm-hmm. </s> And I don't know, I don't know what to do. </s> There's a lot of decisions and a lot of change with your wife, with the new baby. </s> Mm-hmm.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"And now thinking about, looking after your health and wanting to be healthy for your wife and your baby.",1
"And I don't know, I don't know what to do. </s> There's a lot of decisions and a lot of change with your wife, with the new baby. </s> Mm-hmm. </s> And now thinking about, looking after your health and wanting to be healthy for your wife and your baby. </s> Mm-hmm. I want- I want John Carlos to grow up with Oscar. So he has his friend when he's young, too. And, um, I just, it's a lot of stress and a lot of things you-you gotta think about then, um, I'm not feeling good about it.","[-1, 1, -1, 1, -1]",seeker supporter seeker supporter seeker,"Mm-hmm, so what-what would need to happen or how would you know, when you- when or if you ever did have to make a decision about whether to keep Oscar with you or not?",3
"Mm-hmm. </s> And now thinking about, looking after your health and wanting to be healthy for your wife and your baby. </s> Mm-hmm. I want- I want John Carlos to grow up with Oscar. So he has his friend when he's young, too. And, um, I just, it's a lot of stress and a lot of things you-you gotta think about then, um, I'm not feeling good about it. </s> Mm-hmm, so what-what would need to happen or how would you know, when you- when or if you ever did have to make a decision about whether to keep Oscar with you or not? </s> Man, uh, how would I know? I don't know. I think if my asthma got really bad and the medicine- she gave me the strongest medicine and it wasn't working.","[-1, 1, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Mm-hmm. I want- I want John Carlos to grow up with Oscar. So he has his friend when he's young, too. And, um, I just, it's a lot of stress and a lot of things you-you gotta think about then, um, I'm not feeling good about it. </s> Mm-hmm, so what-what would need to happen or how would you know, when you- when or if you ever did have to make a decision about whether to keep Oscar with you or not? </s> Man, uh, how would I know? I don't know. I think if my asthma got really bad and the medicine- she gave me the strongest medicine and it wasn't working. </s> Mm-hmm. </s> That would be the way right now 'cause I can't see, I don't know how I'm going to give this dog up.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah and I get the feeling that it's something that you wanna think about that this is a really big decision-,1
